"","keyword","Score","Frecuencia","Ref_freq","Rel_freq","Rel_ref_freq"
"1","neural network",181.42,16,74,236.841,0.311
"2","information architecture",177.9,21,179,310.853,0.753
"3","management science",147.19,11,27,162.828,0.114
"4","control scheme",135.97,10,23,148.025,0.097
"5","pervasive computing",127.83,9,12,133.223,0.05
"6","fuzzy control",119.42,8,0,118.42,0
"7","optimal control",114.17,8,11,118.42,0.046
"8","fuzzy logic",108.07,8,25,118.42,0.105
"9","sliding mode",104.62,7,0,103.618,0
"10","color constancy",103.79,7,2,103.618,0.008
"11","genetic algorithm",98.88,7,14,103.618,0.059
"12","new method",96.82,12,201,177.63,0.846
"13","state feedback",89.81,6,0,88.815,0
"14","switching line",89.81,6,0,88.815,0
"15","mu m",89.81,6,0,88.815,0
"16","routing policy",89.81,6,0,88.815,0
"17","optimal routing",89.1,6,2,88.815,0.008
"18","mutual exclusion",87.62,6,6,88.815,0.025
"19","general solution",82.86,6,20,88.815,0.084
"20","imaging system",75.79,6,44,88.815,0.185
"21","information processing",75.7,7,91,103.618,0.383
"22","fuzzy automata",75.01,5,0,74.013,0
"23","information complexity",75.01,5,0,74.013,0
"24","sub j",75.01,5,0,74.013,0
"25","fuzzy modeling",75.01,5,0,74.013,0
"26","bit plane",75.01,5,0,74.013,0
"27","optimal routing policy",75.01,5,0,74.013,0
"28","wavelet transform",75.01,5,0,74.013,0
"29","interval type-2",75.01,5,0,74.013,0
"30","cast shadow",74.12,5,3,74.013,0.013
"31","logic programming",72.62,5,8,74.013,0.034
"32","gel electrophoresis",72.34,5,9,74.013,0.038
"33","control problem",72.34,5,9,74.013,0.038
"34","decision support system",72.34,5,9,74.013,0.038
"35","selection method",71.17,5,13,74.013,0.055
"36","dynamic programming",70.9,5,14,74.013,0.059
"37","control center",68.09,6,76,88.815,0.32
"38","structural analysis",65.92,5,33,74.013,0.139
"39","color space",65.92,5,33,74.013,0.139
"40","control system",65.53,13,464,192.433,1.953
"41","linear regression",63.09,5,45,74.013,0.189
"42","finite element",62.67,5,47,74.013,0.198
"43","government procurement",62.2,5,49,74.013,0.206
"44","hybrid algorithm",60.21,4,0,59.21,0
"45","sense amplifier",60.21,4,0,59.21,0
"46","recurrent bus",60.21,4,0,59.21,0
"47","camera calibration",60.21,4,0,59.21,0
